931	76713	7.643579
7830	12113	7.644410
3	28225	7.650328
0	16720	7.650783
16909	62312	7.651671
2	63620	7.652025
2867	4281	7.654905
0	76647	7.658192
3	19328	7.660090
1741	25078	7.660552
3	4655	7.661820
14	20087	7.667214
328	15872	7.669408
14	88900	7.670676
0	30067	7.674485
14	20471	7.678599
14	80304	7.679625
312	98856	7.688733
4014	18501	7.691646
0	71122	7.695088
2	2013	7.697092
3	93806	7.701050
22	539	7.702900
2	1668	7.703149
22	74749	7.706038
0	1026	7.706046
12769	826	7.707232
0	92481	7.707471
2	88919	7.712012
2537	30871	7.714447
2	52790	7.717115
693	19374	7.717231
68389	5917	7.717579
312	5325	7.717737
2	44003	7.719209
19270	87258	7.720747
2022	4988	7.725528
0	62395	7.726642
2	55376	7.728214
161	36890	7.730800
0	190	7.731531
71122	87777	7.735159
0	71788	7.736512
931	46109	7.737290
0	6242	7.738351
48	26591	7.741448
14	1144	7.742425
3	55978	7.743328
2	1224	7.743836
558	2568	7.744097
3	62004	7.749262
22	30071	7.749358
0	69258	7.750430
43	303	7.751074
98	28086	7.751179
3	17790	7.751514
315	1665	7.751805
2	10791	7.755852
2	48493	7.758692
2	1808	7.759469
2	6182	7.768044
0	71488	7.768605
16720	34531	7.769654
0	3810	7.771373
3	30596	7.776439
2	28161	7.776525
14	5080	7.777086
9357	14551	7.778770
3	1559	7.779184
161	70842	7.787945
15	98808	7.789507
2	3050	7.798335
17	27506	7.798335
0	17121	7.800138
1555	1361	7.801390
2	97929	7.802933
31333	50856	7.805838
0	86503	7.809736
0	3748	7.811139
15	4362	7.812196
3	93151	7.812444
3	47767	7.813321
65	277	7.813672
2	65818	7.822688
0	25985	7.823866
14	92964	7.824289
2	9820	7.825315
4054	79639	7.825401
26179	52704	7.834053
1665	144	7.838624
0	29184	7.842766
19947	54957	7.849499
2	12812	7.850843
14	32207	7.854222
3	87957	7.857041
15	27822	7.862028
0	82751	7.863092
14	47814	7.864459
144	82314	7.871942
43	20227	7.872982
2	40128	7.873594
4823	85578	7.874813
2612	3083	7.876601
0	263	7.877007
1490	40006	7.878423
2	461	7.882645
14	16175	7.883453
2	488	7.887454
97	2892	7.888682
0	369	7.889974
1465	2598	7.893683
0	49268	7.894611
263	35577	7.895254
7830	8456	7.895460
0	31241	7.895669
98	46789	7.896485
0	76	7.896887
328	6839	7.897961
76	89750	7.900736
0	14229	7.902391
8239	67004	7.904214
0	105	7.905592
4014	8620	7.908175
10791	6276	7.909559
0	19095	7.915369
2	27393	7.921332
64987	23	7.921628
2	29124	7.923093
2	20853	7.924480
263	31465	7.926194
43	2937	7.926680
315	64960	7.928417
7270	2128	7.928627
22	21134	7.930667
76	1578	7.932765
15	81904	7.933286
312	93495	7.933719
2	81261	7.935027
369	63104	7.940345
98	40085	7.940791
6069	563	7.941038
7270	27858	7.945601
3	79751	7.945837
76	99399	7.948951
2	52063	7.949065
0	37492	7.950458
98	27056	7.950977
461	15361	7.951560
34	29142	7.951783
0	17879	7.956849
0	34653	7.959377
0	6129	7.961196
105	81134	7.962235
76647	50452	7.962969
105	63330	7.963903
3	5016	7.965269
40394	68425	7.966349
98	49659	7.966470
43	16545	7.967033
2022	70083	7.967345
0	35740	7.967440
60845	4703	7.972867
0	491	7.973560
369	6825	7.974659
2	48040	7.975050
14	19693	7.981422
277	40576	7.982190
2	38163	7.983055
22	36780	7.983532
17	11429	7.986009
0	17709	7.986819
779	29654	7.989139
48	65091	7.990183
88210	904	7.990834
2	41091	7.991235
315	479	7.992309
1668	74678	7.994068
2	3511	7.994740
0	74850	7.996740
779	19638	7.999303
0	69425	8.000375
3	73724	8.000627
17	4800	8.002033
904	96244	8.002225
0	38968	8.002393
0	45520	8.002456
0	89104	8.003818
2598	84713	8.006178
3976	63699	8.006551
0	97640	8.007601
0	8924	8.008360
14	63066	8.009053
48	2008	8.009166
2	3485	8.009362
1418	343	8.009800
2	89181	8.013020
23	14250	8.014687
0	29160	8.015480
479	82700	8.015904
46	9367	8.016847
1741	31957	8.017323
1668	6025	8.018744
4988	10203	8.023166
65	5392	8.026765
49429	27318	8.030063
30067	592	8.030620
2	8677	8.030970
2	27458	8.031906
16184	19444	8.036017
1224	64666	8.037311
46	54713	8.038005
98	61028	8.042276
491	4955	8.042701
479	75874	8.043007
23	63	8.044257
0	48890	8.044863
77	4664	8.047806
19693	83592	8.048700
63	5430	8.049057
2	13610	8.049588
22	10985	8.052028
2	31231	8.055295
19095	4340	8.056043
