IDREC,IDTR,TIME_TR
14219,987,20.825999
88797,55,20.826316
24782,2,20.827128
67405,643,20.828672
96376,33117,20.828976
93853,2,20.833302
4958,27319,20.833664
21213,3,20.835508
282,31,20.835830
9972,80,20.836187
25918,80,20.838519
17175,410,20.840247
19043,30,20.840742
7637,1135,20.840747
1662,368,20.840795
52490,6646,20.841830
57280,383,20.842718
91275,550,20.843099
35081,437,20.843710
34405,3,20.844047
76202,96844,20.844855
89824,6163,20.846579
30370,25513,20.847191
2324,542,20.849504
13640,305,20.850937
4543,794,20.855619
1477,1849,20.858434
14388,3,20.859329
11393,80,20.862082
12023,264,20.862130
23730,70,20.863009
29008,16227,20.863054
40762,756,20.864265
36335,6,20.866148
11768,25,20.866603
18263,437,20.867175
40476,1239,20.867270
20737,583,20.867518
81617,2296,20.868298
11086,25,20.870203
7588,136,20.870640
73053,18803,20.871315
96432,1322,20.871498
4476,1400,20.871979
88973,32814,20.873311
49515,410,20.874781
19346,80,20.876092
37555,7839,20.876438
16909,55423,20.878645
88995,756,20.879358
65762,469,20.879498
16172,198,20.880516
1241,550,20.880570
81755,142,20.884935
98227,9550,20.885535
10856,6933,20.889219
36672,84,20.892237
81290,13,20.894569
62222,25,20.894909
8020,21,20.896004
49199,465,20.896356
58912,3,20.897436
81396,84325,20.898816
74275,11340,20.900714
5422,190,20.901202
194,63575,20.904525
14782,21,20.905371
66342,18346,20.906980
4946,27083,20.907113
27338,25,20.909758
93874,892,20.911453
14225,1421,20.912023
60298,97,20.912655
916,1241,20.912662
66785,282,20.914528
21669,13,20.916317
34479,48,20.917055
1622,25,20.917880
91308,383,20.919832
41995,892,20.919864
69991,3,20.920125
597,368,20.921212
30084,2,20.921363
24000,2,20.924505
18552,21,20.924922
27711,2905,20.926539
76392,6933,20.929371
6843,3,20.931431
360,587,20.932640
34206,84,20.933201
51247,13,20.933345
954,136,20.933347
39457,16172,20.934531
14597,1477,20.935004
215,11133,20.935036
52974,3,20.935229
59150,55,20.935948
78132,39669,20.936974
77146,3,20.937527
546,2,20.938579
71968,113,20.939084
40683,465,20.940787
19587,21,20.942314
39304,916,20.944745
50958,25,20.945967
62353,3,20.947555
20253,599,20.949733
23633,3,20.950211
39445,6,20.950354
32333,4,20.950775
10283,2,20.952018
5159,190,20.952668
19390,81064,20.954970
75042,68398,20.955033
78,142,20.957021
49127,1383,20.958137
94581,13,20.958431
9084,4,20.959401
54499,30,20.960401
39731,3,20.960460
14540,925,20.960678
8994,84,20.961701
92574,78574,20.962167
27106,4543,20.965539
15599,3,20.965657
36382,2375,20.967206
2201,14540,20.968273
65145,207,20.968466
88207,3787,20.969113
82287,2,20.971478
19635,2860,20.971681
2011,13607,20.972532
3043,194,20.974825
37420,1,20.975163
172,8233,20.975323
53414,909,20.976410
47674,587,20.978795
32507,2324,20.979943
43901,1199,20.981812
7213,2,20.982270
36293,21,20.984075
73766,3,20.986932
3838,25,20.987318
27870,21049,20.987825
30876,190,20.987891
68527,583,20.989569
64977,82287,20.990841
62268,78287,20.991184
30984,6,20.992140
11701,410,20.992783
1614,597,20.994103
43817,2,20.994859
8139,13,20.994979
6106,6,20.996925
6523,3,20.997341
3447,89,20.997959
12436,1,20.998322
48088,6,20.999346
22174,546,21.000293
4164,597,21.001568
10617,4,21.003003
20268,1291,21.003092
10520,3,21.003263
43194,1400,21.003844
18888,78,21.005128
17410,8682,21.008628
71607,3,21.008714
68836,1417,21.010160
1063,4,21.010273
2483,25475,21.012003
97197,29621,21.012333
87954,25513,21.012386
13116,76732,21.013851
13756,190,21.014627
5249,437,21.015771
82269,1,21.017712
143,3137,21.018826
40936,84,21.018980
45048,30,21.019900
89553,21,21.020909
64566,437,21.021277
10831,599,21.021616
55655,643,21.025931
39422,25,21.026069
8204,1239,21.026190
3471,25,21.026652
1831,264,21.027557
64420,437,21.028777
66442,3,21.028930
31678,14782,21.029176
87354,4279,21.032648
36991,2105,21.036350
33113,97053,21.037085
287,142,21.037500
32659,207,21.037542
73312,2330,21.037789
89791,3,21.037798
79218,67538,21.039046
5552,583,21.039219
18928,21,21.041482
10232,2,21.042530
99448,2047,21.044312
12265,410,21.044992
97224,14415,21.045349
98572,4728,21.045711
56606,11726,21.046336
32893,1,21.049930
10367,6,21.052704
5298,76202,21.052798
16448,2710,21.053248
6169,4958,21.054395
41512,58874,21.055253
33647,6646,21.055382
38761,1761,21.055955
72683,198,21.057533
25169,26353,21.058778
43017,1291,21.058980
15907,3,21.059222
83032,13,21.059718
7284,383,21.060091
3656,31,21.062084
52700,172,21.063875
18465,542,21.065935
32050,1477,21.066452
80824,56457,21.066767
89998,35387,21.068748
25127,2105,21.068799
35555,3,21.070800
24110,4279,21.073173
54049,3,21.074491
81081,19698,21.075092
1700,546,21.075509
1879,198,21.078744
44834,9652,21.080132
12172,1,21.080714
18008,1040,21.081623
70100,55358,21.081683
17493,92988,21.081924
75054,190,21.081978
11285,287,21.084188
55062,610,21.084337
12518,78,21.084556
12868,9652,21.087438
33536,25056,21.087448
30425,3,21.089236
174,13,21.089999
1448,4,21.090122
3557,198,21.090472
19503,143,21.090833
19564,142,21.091537
36127,13,21.092233
14841,1208,21.092601
17292,142,21.092976
24036,13,21.095131
3776,60620,21.097906
6149,121,21.098336
13941,1199,21.099423
98521,1831,21.101861
3911,2296,21.104517
73644,6106,21.104812
25285,410,21.105058
4702,84,21.106236
9473,142,21.108949
1972,1,21.109833
29751,9972,21.111981
62037,3,21.113055
46093,31793,21.116720
20151,6646,21.116748
1566,1871,21.117675
29119,84,21.118724
28823,113,21.118929
37675,3996,21.119426
595,14215,21.119866
47170,8009,21.121510
39331,35279,21.125672
46255,3,21.126131
6530,198,21.126268
29675,3,21.129082
32885,93205,21.129092
58608,1322,21.129666
905,597,21.130156
74585,3,21.131272
2223,3,21.131782
12637,643,21.132007
25631,305,21.132034
2009,1239,21.132771
19859,8682,21.133797
59817,6365,21.134986
7465,1566,21.135434
21732,14415,21.138025
16490,13,21.138703
4116,5298,21.139570
49931,3350,21.139661
35669,80,21.140097
95429,583,21.141534
56680,3,21.142171
695,1816,21.142234
35346,73766,21.142474
13799,194,21.142640
48891,30984,21.144963
99833,3,21.145418
398,6,21.146513
21778,1,21.147110
40918,21,21.147623
29,2,21.152114
13134,97,21.155351
55271,172,21.157319
7324,2,21.158416
2111,142,21.159258
860,8720,21.160739
39684,3,21.161828
71031,21,21.162577
32922,10995,21.162720
18360,31,21.162846
206,32065,21.163187
14970,1088,21.164993
78795,13,21.165110
26,48,21.165784
23,10995,21.166083
91882,3,21.166137
28646,437,21.166483
72268,2011,21.167022
78138,790,21.167189
2480,26,21.168206
43786,3,21.168408
22262,84,21.169700
45884,84,21.170502
16467,4946,21.172315
82331,4038,21.172720
80468,437,21.173679
54434,29,21.174488
93158,12868,21.175171
1246,142,21.177357
5342,65096,21.177673
158,3,21.179480
18410,1199,21.180371
9747,695,21.182023
37683,794,21.182566
2228,905,21.183495
8866,6,21.186692
86721,4728,21.186846
94188,126,21.188162
903,29,21.189482
392,25,21.189628
54486,2,21.190904
11136,4,21.191125
32894,469,21.194744
50212,437,21.194813
40680,21561,21.195570
12553,13,21.196259
23753,238,21.196307
53234,18803,21.201519
10330,142,21.202051
94647,26,21.202510
70270,32454,21.203957
54828,1,21.204645
5030,11644,21.206374
68822,2,21.207390
40560,383,21.207489
28383,437,21.208875
918,136,21.211446
26904,78,21.211456
45583,55,21.212555
57522,2,21.212944
24602,26,21.213682
57821,6,21.214387
19985,80,21.215163
63265,2047,21.216280
7019,1239,21.221120
79801,21,21.221966
19326,2936,21.223324
81215,68172,21.225964
856,2841,21.226059
11033,3,21.226484
92188,1761,21.226722
63458,2,21.227020
39482,383,21.227873
25509,3,21.228499
44467,23,21.228512
87062,2011,21.230726
1545,2,21.230985
93138,13,21.231022
89495,13,21.231642
8849,2373,21.232064
40012,954,21.232106
80015,215,21.232802
10527,6,21.233786
29221,2047,21.234854
1125,3,21.235512
74927,383,21.236229
5656,31861,21.236361
83003,10995,21.239729
2048,136,21.239828
47371,410,21.239949
54288,135,21.240809
92561,31,21.240954
4855,3075,21.241540
49124,206,21.242013
83453,32412,21.242498
23877,26,21.243040
28135,143,21.243634
78944,142,21.246242
55694,13,21.247597
68186,23,21.250024
44786,2330,21.250330
5029,918,21.251092
40366,2905,21.252508
39614,23,21.253194
90159,19992,21.253805
56249,39126,21.254780
77713,597,21.255544
6921,85073,21.256021
39928,856,21.256724
5930,26,21.258472
24351,1733,21.258550
90439,437,21.258947
28798,21,21.260036
29212,3,21.261060
48575,158,21.261318
25389,48,21.261513
34092,158,21.261618
4755,37420,21.263085
1343,238,21.263428
14650,25,21.264497
37039,25056,21.265224
37935,158,21.265742
75655,1,21.266010
346,31,21.266039
6261,287,21.266158
91338,3,21.267054
2120,1322,21.268325
7903,206,21.269452
33418,5491,21.272938
51432,1040,21.274430
68701,1291,21.275673
10195,80,21.276659
1998,78,21.277152
70201,11173,21.277892
181,66538,21.278458
1986,84,21.278805
13774,8682,21.279456
5006,7903,21.280375
49517,136,21.280837
119,50958,21.281239
87708,19043,21.281417
78105,50821,21.281776
12976,2740,21.284105
17380,987,21.284329
41543,26,21.284870
3999,238,21.285002
34313,6,21.285554
27186,2,21.287012
175,30,21.288581
67872,9652,21.296282
6938,6647,21.297570
25343,2324,21.298371
70519,207,21.298758
55067,4702,21.299954
45,22798,21.300209
32765,2105,21.300219
70300,172,21.300655
47253,30370,21.300855
57941,287,21.302088
4046,987,21.302261
35880,119,21.302866
40354,794,21.304425
62630,3,21.304874
31121,2,21.306122
1160,45,21.307947
2892,469,21.308980
88905,32894,21.309471
19019,78,21.310747
7128,954,21.312662
80858,2296,21.312694
1053,13012,21.313116
80373,3,21.313180
42660,998,21.313409
9723,23626,21.313695
32639,78,21.313972
19370,8156,21.314534
